;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788804778776;Il calice degli dei. Percy Jackson e gli dei dell'Olimpo;Riordan Rick;MONDADORI;BAMBINI/RAGAZZI;26/09/2023;
9788807035609;Il cognome delle donne;Tamigio Aurora;FELTRINELLI;FICTION;04/07/2023;ITALIANO
9788828212898;Il vento soffia dove vuole;Tamaro Susanna;SOLFERINO;FICTION;06/10/2023;ITALIANO
9788891589613;Milena insegnami la felicitÖ;Megi Bulla;FABBRI;BAMBINI/RAGAZZI;03/10/2023;
9788829718436;Il grido dell'aquila. Millennium. Vol. 7;Smirnoff Karin;MARSILIO;FICTION;03/10/2023;STRANIERO
9788804729044;Succede sempre qualcosa di meraviglioso;Gotto Gianluca;MONDADORI;FICTION;16/02/2021;ITALIANO
9788855618052;Leggimi una fiaba (titoli sfusi);AA.VV.;EDIBIMBI;BAMBINI/RAGAZZI;08/01/2015;
9788854527331;Il patto dell'acqua;Verghese Abraham;NERI POZZA;FICTION;20/06/2023;STRANIERO
9788804745440;Profondo come il mare, leggero come il cielo. Un viaggio dentro se stessi per trovare la serenitÖ;Gotto Gianluca;MONDADORI;NON FICTION VARIE;28/02/2023;
9788822707451;La sottile arte di fare quello che c***o ti pare. Il metodo scorretto (ma efficace) per liberarsi da persone irritanti, falsi problemi e rotture di ogni giorno e vivere felici;Manson Mark;NEWTON COMPTON EDITORI;NON FICTION VARIE;01/06/2017;
9788822642776;Kaiju No. 8. Vol. 9;Matsumoto Naoya;STAR COMICS;FICTION;27/09/2023;STRANIERO
9788891838704;Kendal a spasso nel tempo;Kendal;MONDADORI ELECTA;BAMBINI/RAGAZZI;19/09/2023;
9788830461307;The turnglass. La clessidra di cristallo;Rubin Gareth;LONGANESI;FICTION;05/09/2023;STRANIERO
9788855441841;Cuori magnetici. Love me love me. Vol. 1;Stefania S.;SPERLING & KUPFER;FICTION;02/05/2023;ITALIANO
9788811009689;Oppenheimer. Trionfo e caduta dell'inventore della bomba atomica;Bird Kai, Sherwin Martin J.;GARZANTI;NON FICTION GENERALI;20/06/2023;
9788804778400;Assassinio a Venezia;Christie Agatha;MONDADORI;FICTION;12/09/2023;STRANIERO
9788804745693;Le coordinate della felicitÖ. Di sogni, viaggi e pura vita;Gotto Gianluca;MONDADORI;NON FICTION GENERALI;19/04/2022;
9788858046586;Dottore delle emozioni. Mostro dei colori;Llenas Anna;GRIBAUDO;BAMBINI/RAGAZZI;26/09/2023;
9788807493645;L'etica del viandante;Galimberti Umberto;FELTRINELLI;NON FICTION GENERALI;05/09/2023;
9788855442152;Il maggiordomo;Steel Danielle;SPERLING & KUPFER;FICTION;19/09/2023;STRANIERO
9788811010685;Volevamo prendere il cielo;Bosco Federica;GARZANTI;FICTION;19/09/2023;ITALIANO
9791259571342;Better. Collisione;Leighton Carrie;MAGAZZINI SALANI;FICTION;19/05/2022;ITALIANO
9788867905218;Divertimenti;Pera Toons;TUNUê;BAMBINI/RAGAZZI;09/05/2023;
9788822775139;Innamorati pazzi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;28/03/2023;ITALIANO
9788822742711;Una Cenerentola a Manhattan;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;28/05/2020;ITALIANO
9791259570277;Fabbricante di lacrime;Doom Erin;MAGAZZINI SALANI;FICTION;27/05/2021;ITALIANO
9788822742704;Stronze si nasce;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;28/05/2020;ITALIANO
9791259571618;Better. Dannazione;Leighton Carrie;MAGAZZINI SALANI;FICTION;21/02/2023;ITALIANO
9788806249182;Stai zitta e altre nove frasi che non vogliamo sentire pió;Murgia Michela;EINAUDI;NON FICTION GENERALI;02/03/2021;
