ISBN;Title;Author;Publisher;Genere ;Published_year;Language;Quanity
9788804778776;Il calice degli dei. Percy Jackson e gli dei dell'Olimpo;Riordan Rick;MONDADORI;CHILDRENS_LITERATURE;9/26/23;ITALIAN;1
9788807035609;Il cognome delle donne;Tamigio Aurora;FELTRINELLI;FICTION;7/4/23;ENGLISH;1
9788828212898;Il vento soffia dove vuole;Tamaro Susanna;SOLFERINO;FICTION;10/6/23;ENGLISH;1
9788891589613;Milena insegnami la felicità;Megi Bulla;FABBRI;CHILDRENS_LITERATURE;10/3/23;ITALIAN;1
9788829718436;Il grido dell'aquila. Millennium. Vol. 7;Smirnoff Karin;MARSILIO;FICTION;10/3/23;ITALIAN;1
9788804729044;Succede sempre qualcosa di meraviglioso;Gotto Gianluca;MONDADORI;FICTION;2/16/21;ENGLISH;1
9788855618052;Leggimi una fiaba (titoli sfusi);AA.VV.;EDIBIMBI;CHILDRENS_LITERATURE;1/8/15;ITALIAN;1
9788854527331;Il patto dell'acqua;Verghese Abraham;NERI POZZA;FICTION;6/20/23;ITALIAN;1
9788804745440;Profondo come il mare, leggero come il cielo. Un viaggio dentro se stessi per trovare la serenità;Gotto Gianluca;MONDADORI;Null;2/28/23;ITALIAN;1
9788822707451;La sottile arte di fare quello che c***o ti pare. Il metodo scorretto (ma efficace) per liberarsi da persone irritanti, falsi problemi e rotture di ogni giorno e vivere felici;Manson Mark;NEWTON COMPTON EDITORI;Null;6/1/17;ITALIAN;1
9788822642776;Kaiju No. 8. Vol. 9;Matsumoto Naoya;STAR COMICS;FICTION;9/27/23;ITALIAN;1
9788891838704;Kendal a spasso nel tempo;Kendal;MONDADORI ELECTA;CHILDRENS_LITERATURE;9/19/23;ITALIAN;1
9788830461307;The turnglass. La clessidra di cristallo;Rubin Gareth;LONGANESI;FICTION;9/5/23;ITALIAN;1
9788855441841;Cuori magnetici. Love me love me. Vol. 1;Stefania S.;SPERLING & KUPFER;FICTION;5/2/23;ENGLISH;1
9788811009689;Oppenheimer. Trionfo e caduta dell'inventore della bomba atomica;Bird Kai, Sherwin Martin J.;GARZANTI;ROMANCE;6/20/23;ITALIAN;1
